,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1,FirstName,LastName,Email,PhoneNo,Location,Satisfaction
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Akanksha,Telagamsetty,at2424@gmail.com,7364836748,Boston,Yes
1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,Brendan,Liu,bl123@gmail.com,8367487364,Boston,Yes
2,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,Mark,Finn,bl123@gmail.com,8736483674,Florida,Yes
3,3.0,3.0,3.0,3.0,3.0,3.0,3.0,,,,,Merinda,Finn,merinda@gmail.com,8574873648,Boston,Yes
4,4.0,4.0,4.0,4.0,4.0,4.0,,,,,,Christina,Fay,christinafay@gmail.com,8574488736,Boston,No
5,5.0,5.0,5.0,5.0,5.0,,,,,,,Madison,Chu,madison@gmail.com,8574436887,Florida,Yes
6,6.0,6.0,6.0,6.0,,,,,,,,Monica,Thomas,monicat@gmail.com,8588774436,Rhode Island,Yes
7,7.0,7.0,7.0,,,,,,,,,Rachel,Green,rachelg@gmail.com,8543688774,Boston,No
8,8.0,8.0,,,,,,,,,,Linda,Liu,lindal123@gmail.com,8547436887,Boston,Yes
9,9.0,,,,,,,,,,,Katie,Gomes,likatie3@gmail.com,8587474368,Boston,Yes
10,,,,,,,,,,,,Florence,May,florence@gmail.com,3688587474,Rhode Island,Yes
